,sample_hash,bad_imports,connections_num,crypto_usage,modification_rate,ip_reputation,max_entropy,bytes_download,bytes_upload,started_processes
0,f8bd677131caaf49fbd065b83615523a951a7e54ad992939c23896dc00dcccb1,4,5,0,60.888888888888886,5,6.389173238013998,8928,1849,5
1,04dc3403afb90b31b571085f20652e311a65318beec4fe90e96358869efb8464,5,2,1,61.111111111111114,45,6.613623623677954,2863,2706,5
2,b6b04fe908508fc2de483eecc4ec3a4fe0d5062fe8f777973f73ecfc43e6d228,2,3,0,50.111111111111114,5,7.969214509159191,0,854,5
3,b9489ca6ffb6bed1d4b7583ad0632e7081529188470a70d15d1e4c0081ae6fa9,4,3,0,22.625,1,6.389173238013998,10393,2773,5
4,71dbd62cce9792f51695e5f15f42db72512eed271bbe3bb7c81bf8bbdfb7d716,5,4,1,61.333333333333336,45,6.613623623677954,2359,1838,5
5,1753643b65be9f5c9b38723b495bc723b07e163f2e614b86901ad5714cabe30d,2,1,0,60.111111111111114,0,7.969214509159191,0,0,5
6,0f29cdbc0e1fea34485c35f527294831110cb21558863409f2d2e4cb11fe51e2,2,3,0,20.8135593220339,0,7.809801161835119,1059,2652,5
7,8aed71f485ffd981a461d371c3b8a40ae4d64c40595e76aa1f62459c2588331f,2,56,0,9.26639344262295,100,7.969214509159191,842634,45069,12
8,83e62221df7ba94f18fc9b63fec82285d8694c0c0a2542c0196752dc81524a10,3,4,4,11.48068669527897,0,7.770010973258076,498,1771,9
9,ae5aee635a9bea9e7f8a1de879b617d13449fb02312a56295593b153fd8cc108,9,23,0,20.88679245283019,24,7.781177252279506,10407939,27631,43
10,75ebcad08ccc55171da8713aa82905d8605ec3e6720f8f72ab3165caf0c9fde1,2,2,0,22.610169491525422,0,7.9633023360641095,182,888,5
11,7004af389d633b82c3ee67055ecb0f9accae5dc0a53721da66c76825ece528f8,0,1,0,11.809248554913294,0,7.126051187520793,0,930,12
12,366d1629a83acad94ced95c4b782ec00a2cc0096598b6824421aed1859d37c1a,0,15,0,15.003344481605351,34,7.842015594757195,100651,9267,12
13,b9b80b813ff7b17245cfc871d6b5aa9e0c03740cb258127986ba7ca6c4a3b8bd,4,2,0,9.694915254237289,29,7.213436333949114,414,197,7
14,041917a626b15f051e708225f00bb856a472ec59a6dd47ca9cae999eb6a243ac,3,3,0,22.033898305084747,0,6.658421878313554,784,1814,5
15,2e40f98be79585108263f5dda3dbf978b09f1f3cc334a9cada585f99939a143b,2,11,0,21.98076923076923,0,7.969214509159191,195455,5973,5
16,9b462800f1bef019d7ec00098682d3ea7fc60e6721555f616399228e4e3ad122,4,24,0,9.440677966101696,29,7.213436333949114,510605,78910,14
17,bf7875ce708b7d68fbcbf046d3f32dd99144b4ed543bc41a884f441590c0631f,3,10,7,21.88135593220339,0,6.685972480611332,103753,5709,5
18,3372c1edab46837f1e973164fa2d726c5c5e17bcb888828ccd7c4dfcc234a370,4,0,6,23.796610169491526,0,6.661540384408635,0,0,4
19,afaba2400552c7032a5c4c6e6151df374d0e98dc67204066281e30e6699dbd18,3,1,0,9.610169491525424,29,7.220589911785074,211,197,7
20,5343947829609f69e84fe7e8172c38ee018ede3c9898d4895275f596ac54320d,0,7,0,20.779661016949152,34,7.883013537744226,11385,3179,5
21,9b462800f1bef019d7ec00098682d3ea7fc60e6721555f616399228e4e3ad122,4,1,0,1.9230769230769231,29,7.213436333949114,212,197,7
